ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,PRME00000M,PRME00010M,PRME00020M,PRME00030M,PRME00040M,PRME00050M,PRME00060M,PRME00070M,PRME00080M,PRME00090M,PRME00100M,PRME00110M,PRME00120M,PRME00130M,PRME00140M,PRME00150M,PRME00160M,PRME00170M,PRME00180M,PRME00190M,PRME00200M,PRME00210M,PRME00220M,PRME00230M,PRME00240M,PRME00250M,PRME00260M,PRME00270M,PRME00280M,PRME00290M,PRME00300M,PRME00310M,PRME00320M,PRME00330M,PRME00340M,PRME00350M,PRME00360M,PRME00370M,PRME00380M,PRME00390M,PRME00400M,PRME00410M,PRME00420M,PRME00430M,PRME00440M,PRME00450M,PRME00460M,PRME00470M,PRME00480M,PRME00490M,PRME00500M,PRME00510M,PRME00520M,PRME00530M,PRME00540M,PRME00550M,PRME00560M,PRME00570M,PRME00580M,PRME00590M,PRME00600M,PRME00610M,PRME00620M,PRME00630M,PRME00640M,PRME00650M,PRME00660M,PRME00670M,PRME00680M,PRME00690M,PRME00700M,PRME00710M,PRME00720M,PRME00730M,PRME00740M,PRME00750M,PRME00760M,PRME00770M,PRME00780M,PRME00790M,PRME00800M,PRME00810M,PRME00820M,PRME00830M,PRME00840M,PRME00850M,PRME00860M,PRME00870M,PRME00880M,PRME00890M,PRME00900M,PRME00910M,PRME00920M,PRME00930M,PRME00940M,PRME00950M,PRME00960M,PRME00970M,PRME00980M,PRME00990M,PRME01000M,PRME01010M,PRME01020M,PRME01030M,PRME01040M,PRME01050M,PRME01060M,PRME01070M,PRME01080M,PRME01090M,PRME01100M,PRME01110M,PRME01120M,PRME01130M,PRME01140M,PRME01150M,PRME01160M,PRME01170M,PRME01180M,PRME01190M,PRME01200M,PRME01210M,PRME01220M,PRME01230M,PRME01240M,PRME01250M,PRME01260M,PRME01270M,PRME01280M,PRME01290M,PRME01300M,PRME01310M,PRME01320M,PRME01330M,PRME01340M,PRME01350M,PRME01360M,PRME01370M,PRME01380M,PRME01390M,PRME01400M
106089,893f3c24a81f51c7ad563ecefb5f4c02,430235,典雅天地,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/24,年度报告,2019/2/28,45,http://www.neeq.com.cn/disclosure/2018/2018-04-24/1524566927_254063.pdf,,17273.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563414.21,,,,,,,,,,,,,,,,,,,,,,,,,,,2317440.95,,,1697.54,,4243.57,,,,,,-20762.4,-20762.4,,,,1480000,-3410285.65,10163.32,,,,,,,,,,-3400122.33,27990.79,,-3428113.12,,,-3428113.12,,,,,,,,,,,,,,,,,,,,,,-3428113.12,,,,1,,,
106090,893f3c24a81f51c7ad563ecefb5f4c02,430235,典雅天地,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/24,年度报告,2019/2/28,45,http://www.neeq.com.cn/disclosure/2018/2018-04-24/1524566927_254063.pdf,,2600979.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082961,,,,,,,,,,,,,,,,,,,,,,,16648.65,,,34343.5,1471449.41,,,22408.81,,-403017.39,,,,,,-33043.05,-33043.05,,,,,343142.91,,,,,,,,,,,343142.91,,,343142.91,,,343142.91,,,,,,,,,,,,,,,,,,,,,,343142.91,,,,1,,,
31693,893f3c24a81f51c7ad563ecefb5f4c02,430235,典雅天地,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/24,年度报告,2019/2/27,43,http://www.neeq.com.cn/disclosure/2018/2018-04-24/1524566927_254063.pdf,,17273.02,17273.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886796.27,2563414.21,,,,,,,,,,,,,,,,,,,,,,,,,,2317440.95,,,1697.54,,4243.57,,,,,,-12028.96,-20762.4,,,,1480000,-3401552.21,10163.32,,,,,,,,,,-3391388.89,27990.79,,-3419379.68,,1,-3419379.68,,1,,-3419379.68,,,,,,,,,,,,,,,,,,-3419379.68,-3419379.68,,,1,-0.5,-0.5,
31694,893f3c24a81f51c7ad563ecefb5f4c02,430235,典雅天地,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/24,年度报告,2019/2/27,43,http://www.neeq.com.cn/disclosure/2018/2018-04-24/1524566927_254063.pdf,,2642979.94,2642979.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269506.3,1117921,,,,,,,,,,,,,,,,,,,,,,16648.65,,,36539.7,1478310.39,,,22937.57,,-402851.01,,,,,,-33043.05,-33043.05,,,,,340430.59,1260,,,,,,,,,,341690.59,144.94,,341545.65,,1,341545.65,,1,-198.86,341744.51,,,,,,,,,,,,,,,,,,341545.65,341744.51,,-198.86,1,0.05,0.05,
139097,26bb07879554548c9a1754bd196bd9e7,430236,美兰股份,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/3/30,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-03-30/1522398887_291803.pdf,,44195388.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30396163.63,,,,,,,,,,,,,,,,,,,,,,,13271.7,,,2842540.36,3433004,,,-12915.64,,283935.15,,,,,,,,,,,970600,8209989.49,12625,,,,,,,,,,8222614.49,1021710.99,,7200903.5,,,7200903.5,,,,,,,,,,,,,,,,,,,,,,7200903.5,,,,1,,,
139098,26bb07879554548c9a1754bd196bd9e7,430236,美兰股份,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/3/30,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-03-30/1522398887_291803.pdf,,30966373.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20483686.39,,,,,,,,,,,,,,,,,,,,,,,18003.29,,,2866855.29,2844005.06,,,1120.51,,217273.68,,,,,,2997000,,,,,,7532429.19,1266500,,,,,,,,,,8798929.19,820894.97,,7978034.22,,,7978034.22,,,,,,,,,,,,,,,,,,,,,,7978034.22,,,,1,,,
57721,26bb07879554548c9a1754bd196bd9e7,430236,美兰股份,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/3/30,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-03-30/1522398887_291803.pdf,,87803550.29,87803550.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78475568.61,61747812.76,,,,,,,,,,,,,,,,,,,,,,270755.52,,,6601630.73,9858621.59,,,-10619.25,,7367.26,,,,,,,,,,,2491999,11819980.68,12625,,,,,,55752.72,,,,11776852.96,1542920.84,,10233932.12,,1,10233932.12,,1,-159556.51,10393488.63,,,,,,,,,,,,,,,,,,10233932.12,10393488.63,,-159556.51,1,0.17,0.17,
57722,26bb07879554548c9a1754bd196bd9e7,430236,美兰股份,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/3/30,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-03-30/1522398887_291803.pdf,,122251573,122251573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105707496,87685081.09,,,,,,,,,,,,,,,,,,,,,,190275.38,,,7422923.68,9779178.16,,,-64329.81,,694367.45,,,,,,,,,,,,16544077,3441452,,,,,,,,,,19985529,2791073.29,,17194455.71,,1,17194455.71,,1,12056.69,17182399.02,,,,,,,,,,,,,,,,,,17194455.71,17182399.02,,12056.69,1,0.29,0.29,
98689,9f621f25f774546fa5966a19f5ca2417,430237,大汉三通,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/5/8,年度报告,2019/2/28,54,http://www.neeq.com.cn/disclosure/2018/2018-05-08/1525765705_070712.pdf,,296309872.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257929399.2,,,,,,,,,,,,,,,,,,,,,,,232797.75,,,2314326.43,15682920.33,,,2273325.78,,849130.93,,,,,,6673.97,,,,,,17034645.68,3612812.83,,,,,,7907.91,,,,20639550.6,2963796.41,,17675754.19,,,17675754.19,,,,,,,,,,,,,,,,,,,,,,17675754.19,,,,1,,,
98690,9f621f25f774546fa5966a19f5ca2417,430237,大汉三通,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/5/8,年度报告,2019/2/28,54,http://www.neeq.com.cn/disclosure/2018/2018-05-08/1525765705_070712.pdf,,197298610.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144992608.6,,,,,,,,,,,,,,,,,,,,,,,50646.77,,,4374782.96,20369599.25,,,1018816.85,,6133836.75,,,,,,18034.34,,,,,,20376353.3,4966139.66,,,,,,150000,,,,25192492.96,3804594.18,,21387898.78,,,21387898.78,,,,,,,,,,,,,,,,,,,,,,21387898.78,,,,1,,,
