CODE,NAME,CLASS_1,TYPE_1,CLASS_2,TYPE_2,CLASS_3,TYPE_3
872282,三向股份,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
872283,溢联环保,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872284,米宅科技,E,建筑业,49,建筑安装业,491,电气安装
872285,双元环保,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发
872286,德建建科,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872287,润和催化,C,制造业,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造
872288,利农种业,C,制造业,40,仪器仪表制造业,409,其他仪器仪表制造业
872289,康隆生物,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
872290,西藏旅行,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
872291,高发气体,C,制造业,33,金属制品业,331,结构性金属制品制造
872292,瑞普股份,C,制造业,42,废弃资源综合利用业,422,非金属废料和碎屑加工处理
872293,基理科技,C,制造业,17,纺织业,178,非家用纺织制成品制造
872294,联科云,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
872295,熠搜能源,M,科学研究和技术服务业,74,专业技术服务业,749,其他专业技术服务业
872296,华友股份,C,制造业,26,化学原料和化学制品制造业,264,涂料、油墨、颜料及类似产品制造
872297,中稀天马,C,制造业,17,纺织业,175,化纤织造及印染精加工
872298,泰得科技,C,制造业,38,电气机械和器材制造业,381,电机制造
872299,华诚传媒,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872300,西藏青稞,C,制造业,34,通用设备制造业,341,锅炉及原动设备制造
872301,弘达电气,C,制造业,13,农副食品加工业,131,谷物磨制
872302,双马股份,C,制造业,20,木材加工和木、竹、藤、棕、草制品业,203,木制品制造
872303,青岛积成,C,制造业,26,化学原料和化学制品制造业,264,涂料、油墨、颜料及类似产品制造
872304,画时代,C,制造业,36,汽车制造业,366,汽车零部件及配件制造
872305,慧峰科技,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872306,高桥科技,E,建筑业,50,建筑装饰和其他建筑业,501,建筑装饰业
872307,瀚天智能,C,制造业,35,专用设备制造业,352,化工、木材、非金属加工专用设备制造
872308,振华建工,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872310,飞扬文化,C,制造业,14,食品制造业,146,调味品、发酵制品制造
872311,富连京,D,电力、热力、燃气及水生产和供应业,46,水的生产和供应业,462,污水处理及其再生利用
872313,同方辐照,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
872315,新农人,C,制造业,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造
872316,俊豪医械,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
872318,金鑫新材,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,653,信息技术咨询服务
872319,巴山牧业,R,文化、体育和娱乐业,87,文化艺术业,879,其他文化艺术业
872320,昆时股份,C,制造业,27,医药制造业,272,化学药品制剂制造
872321,银山股份,D,电力、热力、燃气及水生产和供应业,46,水的生产和供应业,462,污水处理及其再生利用
872322,易动力,C,制造业,13,农副食品加工业,135,屠宰及肉类加工
872323,金米特,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872324,欣思源,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872325,鼎昇科技,C,制造业,15,酒、饮料和精制茶制造业,153,精制茶加工
872326,众智电商,C,制造业,34,通用设备制造业,344,泵、阀门、压缩机及类似机械制造
872327,中瀛科技,G,交通运输、仓储和邮政业,58,装卸搬运和运输代理业,582,运输代理业
872328,铧为物流,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872329,昇迪科技,F,批发和零售业,52,零售业,525,医药及医疗器材专门零售
872330,中健国康,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872331,实时技术,D,电力、热力、燃气及水生产和供应业,45,燃气生产和供应业,450,燃气生产和供应业
872333,渤海水产,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872334,维勘科技,C,制造业,27,医药制造业,276,生物药品制造
872335,百丰医药,C,制造业,35,专用设备制造业,358,医疗仪器设备及器械制造
872336,索尔玻璃,C,制造业,33,金属制品业,334,金属丝绳及其制品制造
872337,友联盛业,C,制造业,39,计算机、通信和其他电子设备制造业,399,其他电子设备制造
872338,中天迅,C,制造业,13,农副食品加工业,132,饲料加工
872339,四宝生物,C,制造业,39,计算机、通信和其他电子设备制造业,396,电子器件制造
872340,珠江燃气,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872341,百拓共享,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术
872342,金发股份,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872344,保亿物业,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
872345,龙海股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,653,信息技术咨询服务
872346,意匠轩,O,居民服务、修理和其他服务业,81,其他服务业,811,清洁服务
872347,华达建业,L,租赁和商务服务业,72,商务服务业,727,旅行社及相关服务
872348,创合电气,C,制造业,30,非金属矿物制品业,305,玻璃制品制造
872349,卡本新能,A,农、林、牧、渔业,4,渔业,41,水产养殖
872350,松华新材,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872351,高至影像,G,交通运输、仓储和邮政业,58,装卸搬运和运输代理业,582,运输代理业
872352,九鼎园林,C,制造业,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造
872355,超越智能,C,制造业,30,非金属矿物制品业,309,石墨及其他非金属矿物制品制造
872356,迈光科技,C,制造业,26,化学原料和化学制品制造业,261,基础化学原料制造
872357,世胜股份,G,交通运输、仓储和邮政业,56,航空运输业,562,通用航空服务
872358,怡联科技,I,信息传输、软件和信息技术服务业,63,电信、广播电视和卫星传输服务,631,电信
872359,新大长远,A,农、林、牧、渔业,3,畜牧业,31,牲畜饲养
872360,铝泰股份,C,制造业,34,通用设备制造业,344,泵、阀门、压缩机及类似机械制造
872361,上元智能,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
872362,建工新科,C,制造业,35,专用设备制造业,356,电子和电工机械专用设备制造
872363,金码测控,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872364,鸿途信达,E,建筑业,50,建筑装饰和其他建筑业,501,建筑装饰业
872365,轻冶股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872366,固耐特,C,制造业,13,农副食品加工业,132,饲料加工
872368,群达环保,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
872369,悦诚股份,D,电力、热力、燃气及水生产和供应业,44,电力、热力生产和供应业,441,电力生产
872370,汉邦生物,C,制造业,13,农副食品加工业,139,其他农副食品加工
872371,宗兴合泰,R,文化、体育和娱乐业,88,体育,881,体育组织
872372,格林春天,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872373,莎特勒,K,房地产业,70,房地产业,702,物业管理
872374,威海顺意,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
872375,亚捷科技,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
872376,玉柴动力,C,制造业,13,农副食品加工业,132,饲料加工
872377,东方亮,A,农、林、牧、渔业,1,农业,14,蔬菜、食用菌及园艺作物种植
872378,和邦盛世,L,租赁和商务服务业,72,商务服务业,724,广告业
872379,自由能,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872380,天浩科技,C,制造业,38,电气机械和器材制造业,384,电池制造
872381,百斯福,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872383,同强商厨,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
872386,创举科技,J,金融业,66,货币金融服务,662,货币银行服务
872387,盛祺信息,C,制造业,14,食品制造业,141,焙烤食品制造
872388,协汇食品,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872389,威德环境,L,租赁和商务服务业,72,商务服务业,727,旅行社及相关服务
872390,科隆智谷,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872391,威骏股份,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872392,越川网络,C,制造业,22,造纸和纸制品业,223,纸制品制造
872393,久信信息,C,制造业,39,计算机、通信和其他电子设备制造业,396,电子器件制造
872394,希肯文化,C,制造业,38,电气机械和器材制造业,384,电池制造
872395,康亚药业,C,制造业,21,家具制造业,213,金属家具制造
872396,子宏生态,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872397,美客多,C,制造业,31,黑色金属冶炼和压延加工业,313,黑色金属铸造
872398,汇景生态,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872399,西信信息,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872400,丽宫食品,C,制造业,31,黑色金属冶炼和压延加工业,313,黑色金属铸造
872401,名流泵业,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
872402,简达物流,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872403,宁苗生态,O,居民服务、修理和其他服务业,80,机动车、电子产品和日用产品修理业,801,汽车、摩托车修理与维护
872404,冠翔生物,C,制造业,27,医药制造业,273,中药饮片加工
872405,思伟科技,C,制造业,36,汽车制造业,366,汽车零部件及配件制造
872406,华亿能源,C,制造业,17,纺织业,178,非家用纺织制成品制造
872407,磐电科技,C,制造业,38,电气机械和器材制造业,385,家用电力器具制造
872408,科炬生物,C,制造业,18,纺织服装、服饰业,183,服饰制造
872409,万洁天元,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872410,强纶新材,L,租赁和商务服务业,72,商务服务业,724,广告业
872411,卓奥科技,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872412,金银卡,C,制造业,41,其他制造业,419,其他未列明制造业
872413,光锐通信,E,建筑业,50,建筑装饰和其他建筑业,503,提供施工设备服务
872414,融通股份,C,制造业,40,仪器仪表制造业,409,其他仪器仪表制造业
872415,同泽股份,E,建筑业,49,建筑安装业,492,管道和设备安装
872416,华达股份,C,制造业,23,印刷和记录媒介复制业,231,印刷
872417,金达来,M,科学研究和技术服务业,74,专业技术服务业,745,质检技术服务
872418,通慧科技,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872419,特力洁,C,制造业,34,通用设备制造业,349,其他通用设备制造业
872420,世界行,H,住宿和餐饮业,62,餐饮业,622,快餐服务
872421,鑫鑫家居,C,制造业,34,通用设备制造业,345,轴承、齿轮和传动部件制造
